format,playerId,name,fullName,nationality,role,battingHand,hasCricsheetId,bowlingTypeFaced,runs,balls,outs,average,strikeRate,fours,sixes,boundaryRuns,boundaryRunPercent,dotBalls,dotBallPercent,deliveriesSeen,metadataBowlerDeliveries,playerJsonBowlerDeliveries,dismissalKinds
test,440968,Mohammad Ahmadzai,Mohammad Yamin Ahmadzai,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,440968,Mohammad Ahmadzai,Mohammad Yamin Ahmadzai,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1076579_SPLIT_T20_UNKNOWN,Mohammad Ishaq,Mohammad Ishaq,Afghanistan,batsman,,no,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1076579_SPLIT_T20_UNKNOWN,Mohammad Ishaq,Mohammad Ishaq,Afghanistan,batsman,,no,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,25913,Mohammad Nabi,Mohammad Nabi,Afghanistan,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,25913,Mohammad Nabi,Mohammad Nabi,Afghanistan,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1174749,Mohammad Safi,Mohammad Saleem Safi,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1174749,Mohammad Safi,Mohammad Saleem Safi,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1276921,Mohammad Zadran,Mohammad Naveed Zadran,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1276921,Mohammad Zadran,Mohammad Naveed Zadran,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,974109,Mujeeb Rahman,Mujeeb Ur Rahman,Afghanistan,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,974109,Mujeeb Rahman,Mujeeb Ur Rahman,Afghanistan,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,633399,Munir Ahmad,Munir Ahmad,Afghanistan,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,633399,Munir Ahmad,Munir Ahmad,Afghanistan,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,524049,Najibullah Zadran,Najibullah Zadran,Afghanistan,batsman,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,524049,Najibullah Zadran,Najibullah Zadran,Afghanistan,batsman,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1199434,Nangeyalia Kharote,Nangeyalia Kharote,Afghanistan,bowler,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1199434,Nangeyalia Kharote,Nangeyalia Kharote,Afghanistan,bowler,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,524048,Nasir Jamal,Nasir Jamal,Afghanistan,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,524048,Nasir Jamal,Nasir Jamal,Afghanistan,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,793447,Naveen-ul-Haq Murid,Naveen-ul-Haq Murid,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,793447,Naveen-ul-Haq Murid,Naveen-ul-Haq Murid,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,913843,Nijat Masood,Nijat Masood,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,913843,Nijat Masood,Nijat Masood,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1182529,Noor Lakanwal,Noor Ahmad Lakanwal,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1182529,Noor Lakanwal,Noor Ahmad Lakanwal,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,318340,Noor Zadran,Noor Ali Zadran,Afghanistan,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,318340,Noor Zadran,Noor Ali Zadran,Afghanistan,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,914171,Qais Kamawal,Qais Ahmad Kamawal,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,914171,Qais Kamawal,Qais Ahmad Kamawal,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,974087,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Afghanistan,wicketkeeper-batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,974087,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Afghanistan,wicketkeeper-batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,533956,Rahmat Zurmatai,Rahmat Shah Zurmatai,Afghanistan,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,533956,Rahmat Zurmatai,Rahmat Shah Zurmatai,Afghanistan,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,793463,Rashid Khan,Rashid Khan,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,793463,Rashid Khan,Rashid Khan,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1061090,Riaz Hassan,Riaz Hassan,Afghanistan,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1061090,Riaz Hassan,Riaz Hassan,Afghanistan,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,976571,Said Mehboob,Said Bahir Shah Mehboob,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,976571,Said Mehboob,Said Bahir Shah Mehboob,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,318339,Samiullah Shinwari,Samiullah Shinwari,Afghanistan,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,318339,Samiullah Shinwari,Samiullah Shinwari,Afghanistan,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,524050,Sayed Shirzad,Sayed Ahmad Shirzad,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
