reason,name,deliveryCount
batter_not_in_player_json_output_list,Nigar Sultana,5190
batter_not_in_player_json_output_list,V Sibanda,5066
batter_not_in_player_json_output_list,MP O'Dowd,4952
batter_not_in_player_json_output_list,AE Jones,4926
batter_not_in_player_json_output_list,Sidra Ameen,4915
batter_not_in_player_json_output_list,M Kapp,4910
batter_not_in_player_json_output_list,WTS Porterfield,4884
batter_not_in_player_json_output_list,Inzamam-ul-Haq,4851
batter_not_in_player_json_output_list,AC Kerr,4801
batter_not_in_player_json_output_list,JI Rodrigues,4779
batter_not_in_player_json_output_list,Taufeeq Umar,4693
batter_not_in_player_json_output_list,TD Paine,4690
batter_not_in_player_json_output_list,AN Petersen,4681
batter_not_in_player_json_output_list,HG Munsey,4656
batter_not_in_player_json_output_list,JA Rudolph,4645
batter_not_in_player_json_output_list,MG Johnson,4644
batter_not_in_player_json_output_list,DN Wyatt,4629
batter_not_in_player_json_output_list,LMP Simmons,4598
bowler_not_in_metadata_or_player_json,B Kumar,4590
batter_not_in_player_json_output_list,L Lee,4587
batter_not_in_player_json_output_list,AE Satterthwaite,4585
batter_not_in_player_json_output_list,KD Karthik,4511
batter_not_in_player_json_output_list,M du Preez,4452
batter_not_in_player_json_output_list,MG Erasmus,4451
batter_not_in_player_json_output_list,Shahid Afridi,4430
batter_not_in_player_json_output_list,RK Paudel,4417
batter_not_in_player_json_output_list,T Brits,4352
batter_not_in_player_json_output_list,JL Langer,4333
batter_not_in_player_json_output_list,GJ Bailey,4333
batter_not_in_player_json_output_list,HAPW Jayawardene,4319
batter_not_in_player_json_output_list,JDP Oram,4299
batter_not_in_player_json_output_list,DJG Sammy,4289
batter_not_in_player_json_output_list,NT Paranavitana,4285
bowler_not_in_metadata_or_player_json,M Morkel,4261
batter_not_in_player_json_output_list,VD Philander,4256
batter_not_in_player_json_output_list,PG Fulton,4173
batter_not_in_player_json_output_list,Fargana Hoque,4173
batter_not_in_player_json_output_list,ND McKenzie,4116
batter_not_in_player_json_output_list,ML Green,4083
batter_not_in_player_json_output_list,KA Pollard,4055
batter_not_in_player_json_output_list,Abdul Razzaq,4053
batter_not_in_player_json_output_list,DS Smith,4012
batter_not_in_player_json_output_list,CM Edwards,4012
batter_not_in_player_json_output_list,PJ Hughes,3997
batter_not_in_player_json_output_list,RL Haynes,3992
batter_not_in_player_json_output_list,CJL Rogers,3988
batter_not_in_player_json_output_list,Aasif Sheikh,3984
batter_not_in_player_json_output_list,MH Cross,3970
batter_not_in_player_json_output_list,Junaid Siddique,3965
batter_not_in_player_json_output_list,Muneeba Ali,3921
batter_not_in_player_json_output_list,Shahriar Nafees,3907
batter_not_in_player_json_output_list,MS Atapattu,3901
batter_not_in_player_json_output_list,H Madavi,3898
batter_not_in_player_json_output_list,Waseem Muhammad,3897
batter_not_in_player_json_output_list,DJS Dottin,3859
batter_not_in_player_json_output_list,Shafali Verma,3840
batter_not_in_player_json_output_list,JM Anderson,3822
batter_not_in_player_json_output_list,KJ Coetzer,3804
batter_not_in_player_json_output_list,Jatinder Singh,3799
batter_not_in_player_json_output_list,Nasir Hossain,3789
batter_not_in_player_json_output_list,A Vala,3782
batter_not_in_player_json_output_list,Aliya Riaz,3782
batter_not_in_player_json_output_list,KJ O'Brien,3766
batter_not_in_player_json_output_list,AC Voges,3744
batter_not_in_player_json_output_list,Harbhajan Singh,3730
batter_not_in_player_json_output_list,TG Southee,3717
batter_not_in_player_json_output_list,K Bhurtel,3684
batter_not_in_player_json_output_list,SA Campbelle,3679
batter_not_in_player_json_output_list,CL White,3669
batter_not_in_player_json_output_list,SJ Taylor,3648
batter_not_in_player_json_output_list,Javeria Khan,3626
batter_not_in_player_json_output_list,N Pooran,3607
batter_not_in_player_json_output_list,Nida Dar,3602
batter_not_in_player_json_output_list,JEC Franklin,3565
batter_not_in_player_json_output_list,DS Airee,3544
batter_not_in_player_json_output_list,D van Niekerk,3538
batter_not_in_player_json_output_list,MD Patel,3538
batter_not_in_player_json_output_list,JD Ryder,3535
batter_not_in_player_json_output_list,CK Kapugedera,3534
bowler_not_in_metadata_or_player_json,Ebadat Hossain,3523
batter_not_in_player_json_output_list,V Aravind,3521
batter_not_in_player_json_output_list,NJ Astle,3520
batter_not_in_player_json_output_list,HH Dippenaar,3502
batter_not_in_player_json_output_list,CS MacLeod,3431
batter_not_in_player_json_output_list,W Jaffer,3408
batter_not_in_player_json_output_list,DW Steyn,3403
batter_not_in_player_json_output_list,HMRKB Herath,3321
batter_not_in_player_json_output_list,SM Pollock,3315
batter_not_in_player_json_output_list,A Gardner,3300
batter_not_in_player_json_output_list,SO Dowrich,3261
batter_not_in_player_json_output_list,L Delany,3255
batter_not_in_player_json_output_list,SA Edwards,3231
batter_not_in_player_json_output_list,PG Raut,3162
batter_not_in_player_json_output_list,NLTC Perera,3151
batter_not_in_player_json_output_list,EC Joyce,3148
batter_not_in_player_json_output_list,O Prendergast,3144
batter_not_in_player_json_output_list,N Chantam,3143
batter_not_in_player_json_output_list,Habibul Bashar,3140
batter_not_in_player_json_output_list,AJ Blackwell,3088
batter_not_in_player_json_output_list,GWHM Perera,3084
bowler_not_in_metadata_or_player_json,SC Williams,3059
batter_not_in_player_json_output_list,CL Tryon,3042
batter_not_in_player_json_output_list,WP Saha,3039
batter_not_in_player_json_output_list,MDK Perera,2997
batter_not_in_player_json_output_list,M Kaif,2992
batter_not_in_player_json_output_list,Yasir Hameed,2990
bowler_not_in_metadata_or_player_json,Sajid Khan,2984
batter_not_in_player_json_output_list,Aaron Jones,2984
batter_not_in_player_json_output_list,IK Pathan,2981
batter_not_in_player_json_output_list,JA Burns,2951
batter_not_in_player_json_output_list,PSP Handscomb,2925
batter_not_in_player_json_output_list,MN Waller,2892
batter_not_in_player_json_output_list,SIR Dunkley,2890
batter_not_in_player_json_output_list,C de Grandhomme,2885
batter_not_in_player_json_output_list,Zeeshan Maqsood,2877
batter_not_in_player_json_output_list,GD Elliott,2876
batter_not_in_player_json_output_list,Rohan Mustafa,2870
batter_not_in_player_json_output_list,N Koncharoenkai,2870
batter_not_in_player_json_output_list,JL Denly,2858
batter_not_in_player_json_output_list,LPC Silva,2846
batter_not_in_player_json_output_list,L Vincent,2835
batter_not_in_player_json_output_list,WPUJC Vaas,2831
batter_not_in_player_json_output_list,CJ Anderson,2824
batter_not_in_player_json_output_list,NND de Silva,2807
batter_not_in_player_json_output_list,H Klaasen,2799
batter_not_in_player_json_output_list,B Lee,2796
batter_not_in_player_json_output_list,ER Oza,2782
batter_not_in_player_json_output_list,NJ O'Brien,2780
batter_not_in_player_json_output_list,A Hunter,2780
batter_not_in_player_json_output_list,I Sharma,2778
batter_not_in_player_json_output_list,JM How,2774
batter_not_in_player_json_output_list,Sharmin Akhter,2773
batter_not_in_player_json_output_list,KMDN Kulasekara,2772
batter_not_in_player_json_output_list,M Mupachikwa,2752
batter_not_in_player_json_output_list,NR Sciver-Brunt,2739
batter_not_in_player_json_output_list,Raqibul Hasan,2712
batter_not_in_player_json_output_list,RS Morton,2706
batter_not_in_player_json_output_list,T Chetty,2699
batter_not_in_player_json_output_list,Aarif Sheikh,2694
batter_not_in_player_json_output_list,Aqib Ilyas,2679
batter_not_in_player_json_output_list,JA Raval,2675
batter_not_in_player_json_output_list,TM McGrath,2643
batter_not_in_player_json_output_list,Nizakat Khan,2640
batter_not_in_player_json_output_list,L Paul,2640
batter_not_in_player_json_output_list,TP Ura,2638
batter_not_in_player_json_output_list,N Chaiwai,2628
batter_not_in_player_json_output_list,OA Shah,2622
batter_not_in_player_json_output_list,TT Bresnan,2619
batter_not_in_player_json_output_list,GC Wilson,2615
batter_not_in_player_json_output_list,D Ganga,2597
batter_not_in_player_json_output_list,Z Khan,2585
batter_not_in_player_json_output_list,Mashrafe Mortaza,2571
batter_not_in_player_json_output_list,Babar Hayat,2570
batter_not_in_player_json_output_list,KA Edwards,2566
batter_not_in_player_json_output_list,DJ Hussey,2548
batter_not_in_player_json_output_list,P Litchfield,2541
batter_not_in_player_json_output_list,Anamul Haque,2537
batter_not_in_player_json_output_list,S Bau,2524
batter_not_in_player_json_output_list,Aftab Ahmed,2521
batter_not_in_player_json_output_list,Mohammad Amir,2516
batter_not_in_player_json_output_list,BFW de Leede,2509
batter_not_in_player_json_output_list,Virandeep Singh,2508
batter_not_in_player_json_output_list,Asif Khan,2507
batter_not_in_player_json_output_list,PM Siddle,2501
batter_not_in_player_json_output_list,A Kumble,2491
batter_not_in_player_json_output_list,MJ North,2474
batter_not_in_player_json_output_list,Yousuf Youhana,2472
batter_not_in_player_json_output_list,Theertha Satish,2463
batter_not_in_player_json_output_list,BM Halliday,2462
batter_not_in_player_json_output_list,Rajin Saleh,2432
batter_not_in_player_json_output_list,A Sutherland,2428
batter_not_in_player_json_output_list,EJM Cowan,2428
batter_not_in_player_json_output_list,GP Swann,2414
batter_not_in_player_json_output_list,GO Jones,2403
batter_not_in_player_json_output_list,N Deonarine,2399
batter_not_in_player_json_output_list,Khaled Mashud,2397
batter_not_in_player_json_output_list,RM Ghosh,2386
batter_not_in_player_json_output_list,Javed Omar,2377
batter_not_in_player_json_output_list,C Munro,2367
batter_not_in_player_json_output_list,Nasir Jamshed,2367
batter_not_in_player_json_output_list,JN Frylinck,2363
batter_not_in_player_json_output_list,SR Mukkamalla,2363
batter_not_in_player_json_output_list,RAS Lakmal,2359
batter_not_in_player_json_output_list,Naeem Islam,2359
batter_not_in_player_json_output_list,NE Bolton,2346
batter_not_in_player_json_output_list,Nahida Khan,2328
batter_not_in_player_json_output_list,Anshuman Rath,2319
bowler_not_in_metadata_or_player_json,Junaid Khan,2313
batter_not_in_player_json_output_list,DR Flynn,2306
batter_not_in_player_json_output_list,LS Greenway,2303
batter_not_in_player_json_output_list,CO Obuya,2283
batter_not_in_player_json_output_list,CJA Amini,2277
